"File","Status","Detail"
"#DREAMS are fleeting, fall in LOVE, girls!\#DREAMS are fleeting, fall in LOVE, girls! (Instrumental).flac","rejected-instrumental-name",""
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\11. 変化 ～学校生活～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=9; unique=1; ratio=0.111; repeat=9; chars=18; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\12. 変化～その後～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=2; unique=2; ratio=1; repeat=1; chars=18; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\13. 結ばれる世界 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=3; unique=3; ratio=1; repeat=1; chars=24; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\14. 勃発 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=12; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\15. 追走 (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=62; unique=4; ratio=0.065; repeat=58; chars=374; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\16. 理想と現実 ～0の世界とは～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=10; unique=1; ratio=0.1; repeat=10; chars=140; hallucinations=10"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\17. 道 ～それぞれの愛～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=9; unique=1; ratio=0.111; repeat=9; chars=126; hallucinations=9"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\18. 道 ～和音からの手紙～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=5; unique=2; ratio=0.4; repeat=4; chars=22; hallucinations=1"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\19. 道 ～待ち合わせ～ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=2; unique=2; ratio=1; repeat=1; chars=16; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\20. 栞のテーマ (映画「僕が愛したすべての君へ」).flac","rejected-low-vocal-confidence","lines=36; unique=3; ratio=0.083; repeat=32; chars=214; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\21. 「僕愛」エピローグ ～すべての君へ～ (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=81; unique=4; ratio=0.049; repeat=76; chars=492; hallucinations=3"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\22. 「君愛」プロローグ (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=4; unique=3; ratio=0.75; repeat=2; chars=30; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\23. 最初の選択 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=21; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\24. 分かれ道 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=2; ratio=1; repeat=1; chars=18; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\25. 栞との出会い (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\26. パラレルシフト (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=1; ratio=0.5; repeat=2; chars=28; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\27. 祖父との別れ (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=2; ratio=0.667; repeat=2; chars=22; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\28. 悲しみの先に (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=2; ratio=0.667; repeat=2; chars=22; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\29. 夏の冒険 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=21; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\30. 冒険心の末に (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=2; ratio=0.667; repeat=2; chars=26; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\31. ふたりの希望 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=1; ratio=0.5; repeat=2; chars=28; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\32. ふたりの行く末 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=1; ratio=0.5; repeat=2; chars=28; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\33. 緊急事態 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=1; unique=1; ratio=1; repeat=1; chars=14; hallucinations=1"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\34. 茫然 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=2; ratio=1; repeat=1; chars=18; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\35. 行き場のない悲しみ (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=14; unique=3; ratio=0.214; repeat=12; chars=96; hallucinations=3"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\36. 未来への決意 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=24; unique=3; ratio=0.125; repeat=20; chars=142; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\37. 現実か夢か (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=1; ratio=0.5; repeat=2; chars=28; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\38. 希望の喪失 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\39. 同級生 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=10; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\40. 共犯者 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\41. ふたりの想い (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=21; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\42. 日常の回想 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\43. 喜怒哀楽 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=30; unique=3; ratio=0.1; repeat=25; chars=176; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\44. 暦の覚悟と決意 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=21; hallucinations=0"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\45. 和音の切なさ (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=1; ratio=0.5; repeat=2; chars=28; hallucinations=2"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\46. 約束 (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=6; unique=2; ratio=0.333; repeat=5; chars=49; hallucinations=1"
"[20221007] 僕が愛したすべての君へ & 君を愛したひとりの僕へ「Original Soundtracks」\47. 「君愛」エピローグ ～再会～ (映画「君を愛したひとりの僕へ」).flac","rejected-low-vocal-confidence","lines=2; unique=2; ratio=1; repeat=1; chars=18; hallucinations=2"
"[Anime-Flac] RADWIMPS - Your Name (flac+cue+log+png)\UPCH-20423.flac","rejected-low-vocal-confidence","lines=546; unique=94; ratio=0.172; repeat=316; chars=6218; hallucinations=114"
"5 Centimeters Per Second Soundtracks\Cherry Blossom.flac","rejected-low-vocal-confidence","lines=10; unique=1; ratio=0.1; repeat=10; chars=140; hallucinations=10"
"5 Centimeters Per Second Soundtracks\END THEME.flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=84; hallucinations=6"
"5 Centimeters Per Second Soundtracks\Impatience.flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"5 Centimeters Per Second Soundtracks\Kanae's Feelings.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=8; hallucinations=0"
"5 Centimeters Per Second Soundtracks\Kiss.flac","rejected-low-vocal-confidence","lines=7; unique=1; ratio=0.143; repeat=7; chars=98; hallucinations=7"
"5 Centimeters Per Second Soundtracks\Memories of Those Distant Days.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"5 Centimeters Per Second Soundtracks\One more time, One more chance PIANO ver.flac","rejected-low-vocal-confidence","lines=10; unique=1; ratio=0.1; repeat=10; chars=140; hallucinations=10"
"5 Centimeters Per Second Soundtracks\Poem of the Sky and Sea.flac","rejected-low-vocal-confidence","lines=20; unique=6; ratio=0.3; repeat=13; chars=154; hallucinations=3"
"5 Centimeters Per Second Soundtracks\Snow Covered Station.flac","rejected-low-vocal-confidence","lines=19; unique=5; ratio=0.263; repeat=15; chars=126; hallucinations=3"
"5 Centimeters Per Second Soundtracks\The Dream.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"5 Centimeters Per Second Soundtracks\Unanswered Feelings.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\A Maiden's Passion.flac","rejected-low-vocal-confidence","lines=37; unique=2; ratio=0.054; repeat=36; chars=597; hallucinations=36"
"A Condition Called Love Original Soundtrack (Complete Edition)\An Older Friend.flac","rejected-low-vocal-confidence","lines=30; unique=3; ratio=0.1; repeat=27; chars=180; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\Can the Two of Us Stay Like This a Little Longer.flac","rejected-low-vocal-confidence","lines=4; unique=2; ratio=0.5; repeat=3; chars=20; hallucinations=1"
"A Condition Called Love Original Soundtrack (Complete Edition)\Can You Pretend You Didn't Hear That.flac","rejected-low-vocal-confidence","lines=1; unique=1; ratio=1; repeat=1; chars=14; hallucinations=1"
"A Condition Called Love Original Soundtrack (Complete Edition)\Escort.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=8; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\Food Tastes Better Together.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\Found It!.flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\Group Date.flac","rejected-low-vocal-confidence","lines=4; unique=2; ratio=0.5; repeat=3; chars=58; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\Hananoi-kun.flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=12; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\Hananoi-kun's True Nature.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\Hotaru.flac","rejected-low-vocal-confidence","lines=92; unique=3; ratio=0.033; repeat=89; chars=552; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Can't Believe This Love Might Come True.flac","rejected-low-vocal-confidence","lines=29; unique=1; ratio=0.034; repeat=29; chars=58; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Can't Catch Up.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Didn't Know (Love).flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Don't Know.flac","rejected-low-vocal-confidence","lines=11; unique=2; ratio=0.182; repeat=10; chars=34; hallucinations=1"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Thought It Would Make You Smile.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=70; hallucinations=5"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Tried My Best.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=28; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Want to Become Someone Special to You.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Want to Know More.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=10; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Want to Punish Myself.flac","rejected-low-vocal-confidence","lines=3; unique=2; ratio=0.667; repeat=2; chars=44; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\I Want to Settle This Peacefully.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=8; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\It Ended Before It Even Began.flac","rejected-low-vocal-confidence","lines=4; unique=2; ratio=0.5; repeat=3; chars=58; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\It Wasn't That Easy!.flac","rejected-low-vocal-confidence","lines=3; unique=2; ratio=0.667; repeat=2; chars=46; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\It's a Nice Kind of Trouble.flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\Just Introducing Me Is Enough.flac","rejected-low-vocal-confidence","lines=3; unique=2; ratio=0.667; repeat=2; chars=46; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\Little by Little.flac","rejected-low-vocal-confidence","lines=15; unique=3; ratio=0.2; repeat=11; chars=100; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\Main Theme ~ Closing Distance ~.flac","rejected-low-vocal-confidence","lines=67; unique=3; ratio=0.045; repeat=65; chars=414; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\Main Theme ~ First Kiss ~.flac","rejected-low-vocal-confidence","lines=13; unique=1; ratio=0.077; repeat=13; chars=26; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\Main Theme ~ Overflowing Feelings ~.flac","rejected-low-vocal-confidence","lines=9; unique=1; ratio=0.111; repeat=9; chars=63; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\Main Theme ~ The Beginning of Love ~.flac","rejected-low-vocal-confidence","lines=8; unique=1; ratio=0.125; repeat=8; chars=112; hallucinations=8"
"A Condition Called Love Original Soundtrack (Complete Edition)\No, You Can't.flac","rejected-low-vocal-confidence","lines=4; unique=2; ratio=0.5; repeat=3; chars=34; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\On the School Rooftop.flac","rejected-low-vocal-confidence","lines=11; unique=2; ratio=0.182; repeat=10; chars=70; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\Passing Each Other By.flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=42; hallucinations=3"
"A Condition Called Love Original Soundtrack (Complete Edition)\Restless.flac","rejected-low-vocal-confidence","lines=4; unique=2; ratio=0.5; repeat=3; chars=20; hallucinations=1"
"A Condition Called Love Original Soundtrack (Complete Edition)\School Life.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=8; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\Starting Today.flac","rejected-low-vocal-confidence","lines=22; unique=2; ratio=0.091; repeat=21; chars=138; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\That Is Love - Sax Version -.flac","rejected-low-vocal-confidence","lines=13; unique=4; ratio=0.308; repeat=9; chars=84; hallucinations=2"
"A Condition Called Love Original Soundtrack (Complete Edition)\That Is Love.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=8; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\The First Time We Held Hands.flac","rejected-low-vocal-confidence","lines=5; unique=2; ratio=0.4; repeat=4; chars=66; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\The Love Story of Two People ~ Acoustic Guitar Ver. ~.flac","rejected-low-vocal-confidence","lines=5; unique=2; ratio=0.4; repeat=4; chars=66; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\The Love Story of Two People.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\The Warmth of Family.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Condition Called Love Original Soundtrack (Complete Edition)\Why Would You Say That.flac","rejected-low-vocal-confidence","lines=3; unique=1; ratio=0.333; repeat=3; chars=6; hallucinations=0"
"A Condition Called Love Original Soundtrack (Complete Edition)\Youth Day.flac","rejected-low-vocal-confidence","lines=4; unique=2; ratio=0.5; repeat=3; chars=20; hallucinations=1"
"A Place Further than the Universe Original Soundtrack\A Cheer from Adults.flac","rejected-low-vocal-confidence","lines=45; unique=3; ratio=0.067; repeat=42; chars=278; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\A Lost Life.flac","rejected-low-vocal-confidence","lines=7; unique=2; ratio=0.286; repeat=6; chars=38; hallucinations=1"
"A Place Further than the Universe Original Soundtrack\A Promise with My Best Friend.flac","rejected-low-vocal-confidence","lines=14; unique=3; ratio=0.214; repeat=11; chars=90; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\A Quick Breather.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=70; hallucinations=5"
"A Place Further than the Universe Original Soundtrack\A Relaxed Afternoon.flac","rejected-low-vocal-confidence","lines=5; unique=2; ratio=0.4; repeat=4; chars=42; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\Ah.flac","rejected-low-vocal-confidence","lines=27; unique=5; ratio=0.185; repeat=22; chars=172; hallucinations=3"
"A Place Further than the Universe Original Soundtrack\All Alone.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=70; hallucinations=5"
"A Place Further than the Universe Original Soundtrack\Alright, Shall We Begin!.flac","rejected-low-vocal-confidence","lines=24; unique=4; ratio=0.167; repeat=20; chars=150; hallucinations=3"
"A Place Further than the Universe Original Soundtrack\Antarctic Girls.flac","rejected-low-vocal-confidence","lines=9; unique=1; ratio=0.111; repeat=9; chars=18; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\Antarctic Sun.flac","rejected-low-vocal-confidence","lines=17; unique=4; ratio=0.235; repeat=8; chars=94; hallucinations=6"
"A Place Further than the Universe Original Soundtrack\Because There's Something I Need to Confirm.flac","rejected-low-vocal-confidence","lines=22; unique=3; ratio=0.136; repeat=20; chars=138; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\Bon Voyage! ~Main Theme~.flac","rejected-low-vocal-confidence","lines=29; unique=5; ratio=0.172; repeat=19; chars=182; hallucinations=3"
"A Place Further than the Universe Original Soundtrack\By the Rest-Area Vending Machine.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=56; hallucinations=4"
"A Place Further than the Universe Original Soundtrack\Chains Wrapped Around the Heart.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=35; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\Emergency.flac","rejected-low-vocal-confidence","lines=25; unique=3; ratio=0.12; repeat=23; chars=156; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\Falling Out.flac","rejected-low-vocal-confidence","lines=7; unique=1; ratio=0.143; repeat=7; chars=28; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\Feelings That Can No Longer Reach You.flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=84; hallucinations=6"
"A Place Further than the Universe Original Soundtrack\Friend.flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=84; hallucinations=6"
"A Place Further than the Universe Original Soundtrack\From Here, From Here ~Acoustic Version~.flac","rejected-low-vocal-confidence","lines=41; unique=3; ratio=0.073; repeat=37; chars=253; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\Hearts in Sync.flac","rejected-low-vocal-confidence","lines=53; unique=3; ratio=0.057; repeat=50; chars=326; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\Hold on a Second!.flac","rejected-low-vocal-confidence","lines=31; unique=4; ratio=0.129; repeat=15; chars=216; hallucinations=3"
"A Place Further than the Universe Original Soundtrack\I Won't Give Up Until the End.flac","rejected-low-vocal-confidence","lines=28; unique=4; ratio=0.143; repeat=24; chars=174; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\I'll Never Forget.flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=84; hallucinations=6"
"A Place Further than the Universe Original Soundtrack\I'm Seriously Gonna Die.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=70; hallucinations=5"
"A Place Further than the Universe Original Soundtrack\It'll Work Out Somehow, Right.flac","rejected-low-vocal-confidence","lines=4; unique=1; ratio=0.25; repeat=4; chars=8; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\Memento.flac","rejected-low-vocal-confidence","lines=6; unique=1; ratio=0.167; repeat=6; chars=42; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\Memories.flac","rejected-low-vocal-confidence","lines=15; unique=2; ratio=0.133; repeat=14; chars=182; hallucinations=2"
"A Place Further than the Universe Original Soundtrack\Mission Underway.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=35; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\Morning Has Come.flac","rejected-low-vocal-confidence","lines=37; unique=4; ratio=0.108; repeat=33; chars=238; hallucinations=3"
"A Place Further than the Universe Original Soundtrack\Nice Weather, Isn't It.flac","rejected-low-vocal-confidence","lines=5; unique=1; ratio=0.2; repeat=5; chars=20; hallucinations=0"
"A Place Further than the Universe Original Soundtrack\No Way, No Way, No Way!.flac","rejected-low-vocal-confidence","lines=15; unique=3; ratio=0.2; repeat=12; chars=98; hallucinations=2"
